Timestamp,Age,Gender,Country,self employed,work interfere,no employees,remote work,tech company,benefits,care options,wellness program,seek help,leave,mental health consequence,phys health consequence,coworkers,supervisor,mental vs physical
8/28/2014 17:19,37,MALE,United States,No,Never,500-1000,No,No,Yes,Yes,No,No,Very easy,Yes,No,No,No,No
8/28/2014 17:16,44,MALE,United States,No,Never,More than 1000,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 17:21,32,MALE,United States,No,Never,26-100,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,No,No,No
8/28/2014 10:34,31,MALE,United States,No,Never,26-100,No,No,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 10:04,31,MALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 17:22,33,MALE,United States,No,Never,500-1000,Yes,Yes,Yes,No,Yes,Yes,Very easy,Yes,No,Yes,Yes,Yes
8/28/2014 18:01,35,MALE,United States,No,Never,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Very easy,Yes,Yes,No,No,No
8/28/2014 14:57,39,MALE,United States,No,Never,More than 1000,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 13:40,42,MALE,United States,No,Never,26-100,Yes,Yes,Yes,No,No,No,Very easy,Yes,Yes,No,No,No
8/28/2014 17:01,23,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/28/2014 17:02,31,MALE,United States,No,Never,100-500,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/28/2014 11:22,29,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/30/2014 16:38,42,MALE,United States,No,Never,26-100,Yes,Yes,No,Yes,No,No,Very easy,Yes,Yes,No,No,No
8/30/2014 20:19,36,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,No,No,Yes
9/11/2014 17:00,27,MALE,United States,No,Never,More than 1000,No,No,Yes,No,Yes,Yes,Very easy,Yes,Yes,No,No,No
8/29/2014 3:02,29,MALE,United States,No,Never,More than 1000,No,No,No,No,No,Yes,Very easy,Yes,Yes,No,No,No
8/29/2014 2:10,23,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/28/2014 19:26,32,MALE,United States,No,Never,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 21:22,46,MALE,United States,No,Never,500-1000,No,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 21:38,36,MALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/29/2014 16:56,29,MALE,United States,No,Never,More than 1000,No,No,Yes,No,Yes,Yes,Very easy,Yes,Yes,Yes,No,No
8/29/2014 11:36,31,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/29/2014 11:12,46,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,No,Very easy,No,No,No,No,No
8/29/2014 10:33,41,MALE,United States,No,Never,More than 1000,No,No,Yes,No,Yes,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/29/2014 11:01,33,MALE,United States,No,Never,100-500,No,No,No,No,No,Yes,Very easy,Yes,Yes,No,No,No
8/29/2014 11:20,35,MALE,United States,No,Never,26-100,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 12:51,33,MALE,United States,No,Never,100-500,Yes,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 12:52,35,MALE,United States,No,Never,500-1000,Yes,Yes,Yes,No,No,No,Very easy,Yes,No,Yes,No,No
8/27/2014 13:53,34,MALE,United States,No,Never,500-1000,No,Yes,No,Yes,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 14:27,37,MALE,United States,No,Never,500-1000,No,No,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 14:38,32,MALE,United States,No,Never,26-100,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 14:41,31,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/27/2014 13:55,30,MALE,United States,No,Never,500-1000,Yes,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 13:56,42,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:01,40,MALE,United States,No,Never,26-100,No,No,Yes,No,No,No,Very easy,Yes,No,Yes,No,No
8/27/2014 14:14,27,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 14:15,29,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/27/2014 14:19,38,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:49,50,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,Yes,No,No,Yes,No
8/27/2014 11:56,35,MALE,United States,No,Never,More than 1000,No,Yes,No,No,Yes,Yes,Very easy,Yes,No,Yes,Yes,Yes
8/27/2014 12:05,24,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,No,Very easy,Yes,No,No,No,No
8/27/2014 12:05,35,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 12:11,27,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 11:45,18,MALE,United States,No,Never,100-500,Yes,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 11:37,30,MALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,No,No
8/27/2014 11:45,38,MALE,United States,No,Never,100-500,Yes,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/27/2014 11:43,28,MALE,United States,No,Never,100-500,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 11:45,34,MALE,United States,No,Never,100-500,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:38,26,MALE,United States,No,Never,26-100,Yes,No,No,No,No,Yes,Very easy,Yes,No,Yes,No,No
8/27/2014 12:40,30,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 12:44,22,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:48,33,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/27/2014 12:41,31,MALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:28,32,MALE,United States,No,Never,100-500,Yes,Yes,Yes,No,No,No,Very easy,Yes,No,No,No,No
8/27/2014 12:31,28,MALE,United States,No,Never,100-500,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/27/2014 12:32,27,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 21:39,32,MALE,United States,No,Never,500-1000,No,Yes,No,Yes,No,No,Very easy,No,No,Yes,Yes,Yes
8/27/2014 22:14,24,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 19:13,26,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,No,No
8/28/2014 9:57,33,MALE,United States,No,Never,100-500,No,No,Yes,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/28/2014 5:14,44,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/28/2014 0:17,26,MALE,United States,No,Never,26-100,No,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 4:23,27,MALE,United States,No,Never,500-1000,No,No,Yes,No,Yes,Yes,Very easy,Yes,No,No,No,Yes
8/27/2014 15:27,26,MALE,United States,No,Never,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,Yes,Yes,Yes
8/27/2014 15:27,35,MALE,United States,No,Never,More than 1000,Yes,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,No,Yes
8/27/2014 15:47,40,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/27/2014 15:11,23,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 16:22,36,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes
8/27/2014 16:55,31,MALE,United States,No,Never,26-100,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 17:15,34,MALE,United States,No,Never,More than 1000,No,No,No,No,No,No,Very easy,Yes,Yes,No,No,No
8/27/2014 15:59,28,MALE,United States,No,Never,500-1000,No,Yes,Yes,No,No,No,Very easy,Yes,Yes,Yes,Yes,No
8/28/2014 17:22,34,MALE,United States,No,Never,26-100,Yes,Yes,Yes,Yes,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 12:55,23,FEMALE,United States,No,Never,500-1000,Yes,Yes,No,No,No,No,Very easy,Yes,Yes,Yes,No,No
8/28/2014 13:41,38,FEMALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,No,Yes
8/28/2014 13:54,33,FEMALE,United States,No,Never,500-1000,No,Yes,No,No,No,Yes,Very easy,No,No,No,Yes,Yes
8/27/2014 15:25,19,FEMALE,United States,No,Never,100-500,No,Yes,No,No,No,No,Very easy,Yes,No,No,Yes,No
8/27/2014 16:17,25,FEMALE,United States,No,Never,100-500,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/29/2014 9:23,31,FEMALE,United States,No,Never,More than 1000,No,No,Yes,No,No,Yes,Very easy,Yes,Yes,No,No,No
8/28/2014 10:02,32,FEMALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,No,No
8/27/2014 16:29,28,FEMALE,United States,No,Never,26-100,No,Yes,Yes,Yes,No,No,Very easy,Yes,Yes,No,No,No
8/27/2014 15:44,38,FEMALE,United States,No,Never,100-500,Yes,Yes,Yes,No,No,No,Very easy,No,No,Yes,Yes,Yes
8/28/2014 11:54,23,FEMALE,United States,No,Never,500-1000,Yes,Yes,Yes,No,No,No,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 11:52,30,FEMALE,United States,No,Never,26-100,Yes,No,No,No,No,Yes,Very easy,Yes,No,Yes,No,No
8/27/2014 12:39,27,FEMALE,United States,No,Never,More than 1000,Yes,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 16:01,33,FEMALE,United States,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Very easy,Yes,No,Yes,Yes,Yes
8/27/2014 14:16,31,FEMALE,United States,No,Never,500-1000,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,No,No
8/27/2014 17:14,39,FEMALE,United States,No,Never,More than 1000,No,No,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,No
8/27/2014 12:49,34,FEMALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,Yes
8/28/2014 13:39,29,MALE,United States,No,Never,100-500,No,No,Yes,Yes,Yes,No,Very easy,Yes,Yes,Yes,Yes,No
8/28/2014 14:12,32,MALE,United States,No,Never,500-1000,Yes,Yes,No,Yes,No,No,Very easy,Yes,Yes,Yes,Yes,No
8/28/2014 10:01,31,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,Yes,Yes,Yes,No,No
8/27/2014 12:32,40,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,Yes,No,No,No
8/27/2014 22:59,34,MALE,United States,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Very easy,Yes,Yes,No,No,No
8/27/2014 23:10,18,MALE,United States,No,Never,26-100,No,No,No,No,No,No,Very easy,Yes,Yes,Yes,No,No
8/27/2014 19:16,25,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,Yes,Yes,Yes,Yes
8/27/2014 18:39,29,FEMALE,United States,No,Never,500-1000,No,No,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
8/27/2014 13:56,24,FEMALE,United States,No,Never,100-500,No,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/29/2014 10:27,31,FEMALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,No,Yes,Yes,Yes
8/27/2014 21:55,33,FEMALE,United States,No,Never,26-100,No,Yes,Yes,Yes,Yes,No,Very easy,Yes,No,Yes,Yes,No
8/27/2014 15:23,30,FEMALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 15:35,26,FEMALE,United States,No,Never,More than 1000,No,No,Yes,No,Yes,Yes,Very easy,Yes,No,Yes,No,No
8/28/2014 12:10,44,FEMALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/27/2014 12:40,25,FEMALE,United States,No,Never,100-500,Yes,Yes,No,No,No,Yes,Very easy,Yes,No,No,Yes,No
11/5/2014 10:08,33,FEMALE,United States,No,Never,100-500,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 10:30,29,MALE,United States,No,Never,500-1000,Yes,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/28/2014 17:20,35,MALE,United States,No,Never,More than 1000,No,No,No,No,No,Yes,Very easy,Yes,No,No,Yes,No
8/28/2014 10:05,35,MALE,United States,No,Never,500-1000,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/28/2014 17:35,28,MALE,United States,No,Never,100-500,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 10:17,34,MALE,United States,No,Never,500-1000,Yes,Yes,No,No,Yes,Yes,Very easy,Yes,No,Yes,Yes,No
8/28/2014 10:24,32,MALE,United States,No,Never,More than 1000,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 15:32,22,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 13:57,28,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 12:23,45,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/28/2014 17:01,32,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/28/2014 17:07,28,MALE,United States,No,Never,100-500,No,No,No,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/28/2014 16:58,26,MALE,United States,No,Never,26-100,Yes,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,No,Yes,No
8/29/2014 21:26,21,MALE,United States,No,Never,26-100,Yes,Yes,Yes,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
9/9/2014 13:49,27,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,No,Very easy,Yes,No,Yes,Yes,No
9/23/2014 20:05,18,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/28/2014 21:33,35,MALE,United States,No,Never,100-500,Yes,Yes,Yes,No,No,No,Very easy,No,No,Yes,Yes,No
8/29/2014 11:43,29,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
8/29/2014 13:58,25,MALE,United States,No,Never,More than 1000,No,No,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/29/2014 10:38,33,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,Yes
8/27/2014 13:21,36,MALE,United States,No,Never,500-1000,No,Yes,Yes,No,No,Yes,Very easy,Yes,No,Yes,No,Yes
8/27/2014 13:18,27,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,Yes
8/27/2014 13:15,27,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,No,Yes,Yes
8/27/2014 13:04,27,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 14:26,32,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:27,31,MALE,United States,No,Never,100-500,No,No,No,No,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 14:27,19,MALE,United States,No,Never,More than 1000,No,No,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:30,33,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 14:38,32,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 14:38,27,MALE,United States,No,Never,26-100,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:32,38,MALE,United States,No,Never,26-100,No,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:22,24,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 14:11,39,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 14:22,28,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 11:57,39,MALE,United States,No,Never,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 12:15,29,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:36,22,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:19,38,MALE,United States,No,Never,26-100,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 12:31,37,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,No,Yes,No,No
8/27/2014 12:33,35,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/27/2014 22:12,30,MALE,United States,No,Never,100-500,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 23:14,37,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,Yes
8/27/2014 17:49,24,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,Yes,No,No,No,No
8/27/2014 18:22,23,MALE,United States,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes
8/27/2014 20:53,30,MALE,United States,No,Never,26-100,No,Yes,No,No,No,No,Very easy,No,No,Yes,Yes,No
8/28/2014 9:53,29,MALE,United States,No,Never,26-100,Yes,Yes,No,No,No,No,Very easy,Yes,No,Yes,No,No
8/27/2014 15:27,19,MALE,United States,No,Never,500-1000,No,Yes,Yes,Yes,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 15:29,32,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 15:35,28,MALE,United States,No,Never,More than 1000,No,No,Yes,No,No,No,Very easy,No,No,Yes,No,No
8/27/2014 15:38,36,MALE,United States,No,Never,500-1000,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 15:39,37,MALE,United States,No,Never,More than 1000,No,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
8/27/2014 15:25,25,MALE,United States,No,Never,More than 1000,No,No,Yes,No,No,Yes,Very easy,Yes,No,Yes,Yes,No
